year,station,loc_mn,dc_mn,longitude,latitude,other_theft,arson,assault_gbh,attempted_murder,attempted_sexoff,bank_robbery,burglary_nonres,burglary_res,carjacking,commercial_crime,common_assault,common_robbery,contact_sexoff,dui,drug_crime,illegal_firearms,kidnapping,malicious_damage,murder,rape,robbery_nonres,robbery_res,cash_transit_robbery,aggr_robbery,sexual_assault,sexual_offences,police_detected_sexoff,shoplifting,stock_theft,vehicle_theft,theft_from_vehicle,truck_hijacking,contact_related_crime,crimes_against_property,contact_crime,other_serious_crimes,crimes_dependent_on_police_action_for_detention,total_crime,total_crime_excl_police,crimes_against_property_log,contact_crime_log,contact_related_crime_log,other_serious_crimes_log,crimes_dependent_on_police_action_for_detention_log,total_crime_log,total_crime_excl_police_log,treated_group,year_numeric,treatment_year,time_index,time_centered,time_centered_sq
2008/2009,yeoville,city of johannesburg,city of johannesburg,28.06281,-26.1829,491,3,570,25,3,0,104,226,25,161,443,132,1,213,113,34,1,236,24,58,34,42,1,293,7,119,0,218,0,143,272,0,239,745,1606,870,360,3581,3221,6.61472560020376,7.382124365737512,5.480638923341991,6.769641976852503,5.8888779583328805,8.183676582620658,8.07775756373692,0,2008,0,0,-4,16
2009/2010,yeoville,city of johannesburg,city of johannesburg,28.06281,-26.1829,452,5,625,9,3,0,86,180,35,154,473,127,2,264,283,22,1,252,14,55,27,57,1,276,13,115,0,185,0,124,300,0,257,690,1639,791,569,3689,3120,6.53813982376767,7.402451520818244,5.552959584921617,6.674561391814426,6.345636360828596,8.213381737034572,8.045908742270779,0,2009,0,1,-3,9
2010/2011,yeoville,city of johannesburg,city of johannesburg,28.06281,-26.1829,525,1,586,15,5,0,83,231,23,247,469,113,3,228,108,10,1,208,21,60,36,27,0,238,23,101,0,164,0,96,256,0,209,666,1543,936,346,3491,3145,6.502790045915623,7.342131730584722,5.3471075307174685,6.842683282238422,5.849324779946859,8.158229916959494,8.053887083618223,0,2010,0,2,-2,4
2011/2012,yeoville,city of johannesburg,city of johannesburg,28.06281,-26.1829,559,2,591,18,5,0,92,199,54,197,437,103,4,340,161,18,1,210,10,42,54,46,0,328,3,52,1,111,0,104,243,0,212,638,1539,867,520,3564,3044,6.459904454377535,7.3395376954076745,5.3612921657094255,6.7661917146603505,6.255750041753367,8.178919332848396,8.021256180143997,0,2011,0,3,-1,1
2012/2013,yeoville,city of johannesburg,city of johannesburg,28.06281,-26.1829,562,0,556,29,5,0,73,210,48,129,441,134,5,351,155,28,1,262,17,71,51,56,1,355,17,96,3,133,0,136,380,0,262,799,1628,824,537,3788,3251,6.684611727667927,7.395721608602045,5.572154032177765,6.715383386334681,6.2878585601617845,8.239857411018601,8.087025470667701,0,2012,1,4,0,0
2013/2014,yeoville,city of johannesburg,city of johannesburg,28.06281,-26.1829,459,3,532,33,4,1,109,221,33,124,338,111,6,335,356,45,2,248,18,47,50,51,0,423,8,59,0,82,0,149,394,0,251,873,1514,665,736,3788,3052,6.773080375655535,7.323170717943469,5.529429087511423,6.501289670540389,6.602587892189336,8.239857411018601,8.023879992734878,0,2013,1,5,1,1
2014/2015,yeoville,city of johannesburg,city of johannesburg,28.06281,-26.1829,459,0,598,18,1,0,69,209,43,93,329,120,7,275,270,24,3,220,23,60,33,63,0,386,11,73,1,100,0,117,408,1,220,803,1547,652,570,3572,3002,6.6895992691789665,7.344719054149673,5.3981627015177525,6.481577129276431,6.3473892096560105,8.181160858023409,8.00736706798333,0,2014,1,6,2,4
2015/2016,yeoville,city of johannesburg,city of johannesburg,28.06281,-26.1829,442,3,593,36,4,0,71,199,139,81,410,212,8,512,174,45,4,263,31,39,56,82,0,602,5,52,0,131,0,132,400,0,266,802,1936,654,731,4123,3392,6.688354713946762,7.5688956634069955,5.58724865840025,6.484635235635252,6.595780513961311,8.32457884513685,8.129469764784231,0,2015,1,7,3,9
2016/2017,yeoville,city of johannesburg,city of johannesburg,28.06281,-26.1829,381,1,496,29,1,0,84,155,89,87,365,206,5,245,186,41,5,251,18,33,69,69,0,577,13,50,1,130,0,103,549,1,252,891,1741,598,473,3703,3230,6.79346613258001,7.462789157412448,5.53338948872752,6.395261598115449,6.161207321695077,8.21716859576607,8.080546965824498,0,2016,1,8,4,16
2017/2018,yeoville,city of johannesburg,city of johannesburg,28.06281,-26.1829,376,0,498,23,0,0,62,159,64,77,267,220,6,352,124,31,6,236,27,37,54,62,0,499,14,51,0,127,0,70,431,0,236,722,1585,580,507,3394,2887,6.583409222158765,7.368970402194793,5.4680601411351315,6.364750756851911,6.230481447578482,8.130059039992796,7.968319500012717,0,2017,1,9,5,25
