year,station,total_crime,contact_related_crime,crimes_against_property,other_serious_crimes,contact_crime,crimes_dependent_on_police_action_for_detention,total_crime_excl_police,crimes_against_property_log,contact_crime_log,contact_related_crime_log,other_serious_crimes_log,crimes_dependent_on_police_action_for_detention_log,total_crime_log,total_crime_excl_police_log,treated,year_numeric,post,did
2008/2009,bethanie,1129,82,249,265,550,65,1064,5.521460917862246,6.311734809152915,4.418840607796598,5.583496308781699,4.189654742026425,7.029972911706386,6.970730078143525,0,2008,0,0
2008/2009,boitekong,1666,98,411,149,741,365,1301,6.021023349349527,6.60934924316738,4.59511985013459,5.0106352940962555,5.902633333401366,7.418780882750794,7.171656822768514,0,2008,0,0
2008/2009,boons,244,15,88,81,60,15,229,4.48863636973214,4.110873864173311,2.772588722239781,4.406719247264253,2.772588722239781,5.501258210544727,5.438079308923196,0,2008,0,0
2008/2009,lethabong,573,34,131,68,227,147,426,4.882801922586371,5.429345628954441,3.5553480614894135,4.23410650459726,4.997212273764115,6.352629396319567,6.056784013228625,0,2008,0,0
2008/2009,marikana,1640,119,354,451,657,178,1462,5.872117789475416,6.489204931325317,4.787491742782046,6.113682179832232,5.187385805840755,7.403061091090091,7.288244401020124,1,2008,0,0
2008/2009,phokeng,3482,255,978,708,1518,278,3204,6.88653164253051,7.325807502595773,5.545177444479562,6.5638555265321274,5.631211781821365,8.155649270366002,8.07246736935477,0,2008,0,0
2008/2009,rustenburg,14956,864,4150,5589,4538,679,14277,8.33110454805304,8.420462002456466,6.762729506931879,8.628734566149145,6.522092798170152,9.612934696659327,9.566475170062406,0,2008,0,0
2008/2009,tlhabane,1719,104,357,220,726,416,1303,5.8805329864007,6.588926477533519,4.653960350157523,5.3981627015177525,6.0330862217988015,7.450079569807499,7.1731917424865985,0,2008,0,0
2009/2010,bethanie,1165,87,316,226,569,54,1111,5.75890177387728,6.345636360828596,4.477336814478207,5.424950017481403,4.007333185232471,7.061334366910438,7.013915474810528,0,2009,0,0
2009/2010,boitekong,1593,82,439,132,620,402,1191,6.0867747269123065,6.431331081933479,4.418840607796598,4.890349128221754,5.998936561946683,7.374001859350161,7.083387847625295,0,2009,0,0
2009/2010,boons,273,14,102,79,83,9,264,4.634728988229636,4.430816798843313,2.70805020110221,4.382026634673881,2.302585092994046,5.6131281063880705,5.579729825986222,0,2009,0,0
2009/2010,lethabong,456,22,92,34,188,142,314,4.532599493153256,5.241747015059643,3.1354942159291497,3.5553480614894135,4.962844630259907,6.124683390894205,5.752572638825633,0,2009,0,0
2009/2010,marikana,1578,84,378,597,503,100,1478,5.937536205082426,6.222576268071369,4.442651256490317,6.393590753950631,4.61512051684126,7.364547014255642,7.2991214627108,1,2009,0,0
2009/2010,phokeng,3639,248,1073,811,1449,306,3333,6.97914527506881,7.27931883541462,5.517452896464707,6.699500340161678,5.726847747587197,8.199738960630786,8.111928063310739,0,2009,0,0
2009/2010,rustenburg,14120,946,4451,4726,4020,923,13197,8.401108712395436,8.299285906897275,6.853299093186078,8.461046030793236,6.828712071641684,9.555418330069251,9.487820581943367,0,2009,0,0
2009/2010,tlhabane,1734,79,394,227,625,488,1246,5.978885764901122,6.439350371100098,4.382026634673881,5.429345628954441,6.192362489474872,7.45876269238096,7.1284959456800365,0,2009,0,0
2010/2011,bethanie,1225,82,359,197,564,105,1120,5.886104031450156,6.336825731146441,4.418840607796598,5.288267030694535,4.663439094112067,7.111512116496157,7.02197642307216,0,2010,0,0
2010/2011,boitekong,2656,150,754,390,1167,345,2311,6.626717749249025,7.0630481633881725,5.017279836814924,5.968707559985366,5.846438775057725,7.884952945759814,7.7458682297922685,0,2010,0,0
2010/2011,boons,216,16,79,71,49,17,199,4.382026634673881,3.912023005428146,2.833213344056216,4.276666119016055,2.8903717578961645,5.37989735354046,5.298317366548036,0,2010,0,0
2010/2011,lethabong,463,27,83,35,189,156,307,4.430816798843313,5.247024072160486,3.332204510175204,3.58351893845611,5.056245805348308,6.139884552226255,5.730099782973574,0,2010,0,0
2010/2011,marikana,1502,63,296,607,473,126,1376,5.6937321388027,6.161207321695077,4.1588830833596715,6.410174881966167,4.844187086458591,7.315218389752975,7.227662498728654,1,2010,0,0
2010/2011,phokeng,2849,166,908,697,1022,222,2627,6.812345094177479,6.930494765951626,5.117993812416755,6.548219102762372,5.407171771460119,7.955074273262696,7.873978379604501,0,2010,0,0
2010/2011,rustenburg,10133,661,3318,3530,2547,738,9395,8.107418811719974,7.843064016692054,6.495265555937008,8.169336395928386,6.6052979209482015,9.223651386035854,9.148039345778804,0,2010,0,0
2010/2011,tlhabane,2801,193,1005,353,782,661,2140,6.913737350659685,6.663132695990803,5.267858159063328,5.869296913133774,6.495265555937008,7.938088726896952,7.669028288589683,0,2010,0,0
2011/2012,bethanie,1204,157,321,240,512,131,1073,5.7745515455444085,6.240275845170769,5.062595033026967,5.484796933490655,4.882801922586371,7.094234845924755,6.97914527506881,0,2011,0,0
2011/2012,boitekong,3025,180,761,461,1318,485,2540,6.635946555686647,7.1846291527173145,5.198497031265826,6.135564891081739,6.186208623900494,8.014996894348302,7.840312983320164,0,2011,0,0
2011/2012,boons,149,10,44,40,42,23,126,3.8066624897703196,3.7612001156935624,2.3978952727983707,3.713572066704308,3.1780538303479458,5.0106352940962555,4.844187086458591,0,2011,0,0
2011/2012,lethabong,428,13,68,25,165,170,258,4.23410650459726,5.111987788356544,2.6390573296152584,3.258096538021482,5.14166355650266,6.061456918928017,5.556828061699537,0,2011,0,0
2011/2012,marikana,1396,88,356,485,394,161,1235,5.877735781779639,5.978885764901122,4.48863636973214,6.186208623900494,5.087596335232384,7.242082359256962,7.119635638017636,1,2011,0,0
2011/2012,phokeng,2765,196,830,666,1082,187,2578,6.7226297948554485,6.9874902470009905,5.2832037287379885,6.502790045915623,5.236441962829949,7.925157512224703,7.8551570058813445,0,2011,0,0
2011/2012,rustenburg,10580,710,3624,3619,2500,837,9743,8.195609567288775,7.824445930877619,6.566672429803241,8.194229304819817,6.731018100482083,9.266815218904162,9.184406989949679,0,2011,0,0
2011/2012,tlhabane,2807,191,1038,330,761,678,2129,6.946013991099227,6.635946555686647,5.2574953720277815,5.802118375377063,6.520621127558696,7.940227765145702,7.6638772587034705,0,2011,0,0
2012/2013,bethanie,1216,99,344,224,481,167,1049,5.84354441703136,6.1779441140506,4.605170185988092,5.41610040220442,5.123963979403259,7.104144092987527,6.956545443151569,0,2012,1,0
2012/2013,boitekong,2986,177,759,455,1303,469,2517,6.633318433280377,7.1731917424865985,5.181783550292085,6.1224928095143865,6.152732694704104,8.00202481821611,7.831220214604293,0,2012,1,0
2012/2013,boons,123,10,28,27,47,21,102,3.367295829986474,3.871201010907891,2.3978952727983707,3.332204510175204,3.091042453358316,4.820281565605037,4.634728988229636,0,2012,1,0
2012/2013,lethabong,490,16,96,25,180,189,301,4.574710978503383,5.198497031265826,2.833213344056216,3.258096538021482,5.247024072160486,6.19644412779452,5.71042701737487,0,2012,1,0
2012/2013,marikana,1589,81,358,568,511,152,1437,5.883322388488279,6.238324625039508,4.406719247264253,6.343880434126331,5.030437921392435,7.371489295214277,7.271008538280992,1,2012,1,1
2012/2013,phokeng,2540,159,675,657,1043,165,2375,6.516193076042964,6.950814768442584,5.075173815233827,6.489204931325317,5.111987788356544,7.840312983320164,7.773173680482536,0,2012,1,0
2012/2013,rustenburg,11981,706,3726,4386,2410,1459,10522,8.223358899479258,7.787796878181171,6.561030665896573,8.386400901166214,7.286191714702382,9.39116080264387,9.261318616740812,0,2012,1,0
2012/2013,tlhabane,2567,149,962,273,659,673,1894,6.870053411798126,6.492239835020471,5.0106352940962555,5.6131281063880705,6.513230110912307,7.850882664809852,7.546974117516527,0,2012,1,0
2013/2014,bethanie,1399,78,370,319,479,231,1168,5.916202062607435,6.173786103901937,4.3694478524670215,5.768320995793772,5.44673737166631,7.24422751560335,7.063903961472068,0,2013,1,0
2013/2014,boitekong,3283,187,786,626,1359,512,2771,6.668228248417403,7.215239978730097,5.236441962829949,6.440946540632921,6.240275845170769,8.096817470572319,7.927324360309794,0,2013,1,0
2013/2014,boons,101,6,26,17,42,16,85,3.295836866004329,3.7612001156935624,1.9459101490553132,2.8903717578961645,2.833213344056216,4.624972813284271,4.454347296253507,0,2013,1,0
2013/2014,lethabong,492,25,105,25,155,207,285,4.663439094112067,5.049856007249537,3.258096538021482,3.258096538021482,5.337538079701318,6.20050917404269,5.655991810819852,0,2013,1,0
2013/2014,marikana,1404,70,304,542,384,174,1230,5.720311776607412,5.953243334287785,4.2626798770413155,6.297109319933935,5.1647859739235145,7.247792581767846,7.115582126184454,1,2013,1,1
2013/2014,phokeng,2564,162,756,715,894,199,2365,6.6293632534374485,6.796823718274855,5.093750200806762,6.573680166960646,5.298317366548036,7.84971375760487,7.768956044538332,0,2013,1,0
2013/2014,rustenburg,10654,510,3050,3790,2252,1562,9092,8.02322468471667,7.720017940432244,6.236369590203704,8.240385115516334,7.354362330421477,9.273784544532717,9.115260165725912,0,2013,1,0
2013/2014,tlhabane,2616,139,949,296,649,722,1894,6.856461984594587,6.476972362889683,4.941642422609304,5.6937321388027,6.583409222158765,7.869783902530146,7.546974117516527,0,2013,1,0
2014/2015,bethanie,1534,96,350,414,466,304,1230,5.860786223465865,6.1463292576688975,4.574710978503383,6.028278520230698,5.720311776607412,7.336285660021297,7.115582126184454,0,2014,1,0
2014/2015,boitekong,3664,189,901,607,1522,634,3030,6.804614520062624,7.328437352895162,5.247024072160486,6.410174881966167,6.453624998892692,8.206583614320753,8.016647877057803,0,2014,1,0
2014/2015,boons,157,9,26,36,75,20,137,3.295836866004329,4.330733340286331,2.302585092994046,3.6109179126442243,3.044522437723423,5.062595033026967,4.927253685157205,0,2014,1,0
2014/2015,lethabong,529,19,127,30,190,182,347,4.852030263919617,5.25227342804663,2.995732273553991,3.4339872044851463,5.209486152841421,6.272877006546167,5.8522024797744745,0,2014,1,0
2014/2015,marikana,1205,77,274,453,343,135,1070,5.616771097666572,5.840641657373398,4.356708826689592,6.118097198041348,4.912654885736052,7.095064377287131,6.976348070447749,1,2014,1,1
2014/2015,phokeng,2642,191,799,725,858,260,2382,6.684611727667927,6.755768921984255,5.2574953720277815,6.587550014824796,5.564520407322694,7.879669914604289,7.776115477098742,0,2014,1,0
2014/2015,rustenburg,10113,562,3101,3261,2328,1423,8690,8.039802343736485,7.753194269884341,6.333279628139691,8.09009578318096,7.261225091971921,9.221675881639928,9.07004328643746,0,2014,1,0
2014/2015,tlhabane,2514,135,830,217,674,793,1721,6.7226297948554485,6.51471269087253,4.912654885736052,5.384495062789089,6.677083461247136,7.83002808253384,7.451241684987676,0,2014,1,0
2015/2016,bethanie,681,36,142,69,176,294,387,4.962844630259907,5.176149732573829,3.6109179126442243,4.248495242049359,5.68697535633982,6.525029657843462,5.961005339623274,0,2015,1,0
2015/2016,boitekong,3971,243,861,655,1594,861,3110,6.759255270663693,7.374629015218945,5.497168225293202,6.486160788944089,6.759255270663693,8.287025025165063,8.042699496897637,0,2015,1,0
