year,station,loc_mn,dc_mn,longitude,latitude,other_theft,arson,assault_gbh,attempted_murder,attempted_sexoff,bank_robbery,burglary_nonres,burglary_res,carjacking,commercial_crime,common_assault,common_robbery,contact_sexoff,dui,drug_crime,illegal_firearms,kidnapping,malicious_damage,murder,rape,robbery_nonres,robbery_res,cash_transit_robbery,aggr_robbery,sexual_assault,sexual_offences,police_detected_sexoff,shoplifting,stock_theft,vehicle_theft,theft_from_vehicle,truck_hijacking,contact_related_crime,crimes_against_property,contact_crime,other_serious_crimes,crimes_dependent_on_police_action_for_detention,total_crime,total_crime_excl_police,crimes_against_property_log,contact_crime_log,contact_related_crime_log,other_serious_crimes_log,crimes_dependent_on_police_action_for_detention_log,total_crime_log,total_crime_excl_police_log,treated_group,year_numeric,treatment_year,time_index
2008/2009,tlhabane,rustenburg,bojanala,27.21433,-25.64737,192,6,264,48,2,0,82,188,13,27,123,26,12,41,361,14,1,98,35,65,64,21,0,153,3,77,0,1,4,38,45,0,104,357,726,220,416,1719,1303,5.8805329864007,6.588926477533519,4.653960350157523,5.3981627015177525,6.0330862217988015,7.450079569807499,7.173191742486599,1,2008,0,0
2009/2010,tlhabane,rustenburg,bojanala,27.21433,-25.64737,184,8,263,24,4,0,71,227,14,38,94,34,7,17,460,11,1,71,24,77,40,15,0,104,0,82,0,5,7,38,51,0,79,394,625,227,488,1734,1246,5.978885764901122,6.439350371100098,4.382026634673881,5.429345628954441,6.192362489474872,7.45876269238096,7.1284959456800365,1,2009,0,1
2010/2011,tlhabane,rustenburg,bojanala,27.21433,-25.64737,303,13,317,15,7,0,122,553,17,48,158,60,5,52,600,9,1,180,13,59,24,27,0,147,3,72,0,2,2,67,261,0,193,1005,782,353,661,2801,2140,6.913737350659685,6.663132695990803,5.267858159063328,5.869296913133774,6.495265555937008,7.938088726896952,7.669028288589683,1,2010,0,2
2011/2012,tlhabane,rustenburg,bojanala,27.21433,-25.64737,296,9,254,24,8,0,160,575,15,31,159,54,7,67,596,11,1,182,16,67,51,31,0,174,4,80,4,3,0,61,242,0,191,1038,761,330,678,2807,2129,6.946013991099227,6.635946555686647,5.2574953720277815,5.802118375377063,6.520621127558696,7.940227765145702,7.6638772587034705,1,2011,0,3
2012/2013,tlhabane,rustenburg,bojanala,27.21433,-25.64737,232,5,225,16,2,0,153,594,10,34,139,33,7,70,595,7,1,144,13,89,26,40,0,134,7,99,1,7,1,50,164,0,149,962,659,273,673,2567,1894,6.870053411798126,6.492239835020471,5.010635294096256,5.613128106388071,6.513230110912307,7.850882664809852,7.546974117516527,1,2012,1,4
2013/2014,tlhabane,rustenburg,bojanala,27.21433,-25.64737,247,10,218,30,3,0,101,568,7,42,133,37,4,81,637,4,22,129,13,63,33,43,0,148,2,70,0,7,3,80,197,0,139,949,649,296,722,2616,1894,6.856461984594587,6.476972362889683,4.941642422609304,5.6937321388027,6.583409222158765,7.869783902530146,7.546974117516527,1,2013,1,5
2014/2015,tlhabane,rustenburg,bojanala,27.21433,-25.64737,186,10,238,18,8,0,82,529,10,30,122,42,9,104,680,9,28,125,14,56,30,35,0,168,3,72,0,1,1,95,123,0,135,830,674,217,793,2514,1721,6.7226297948554485,6.51471269087253,4.912654885736052,5.384495062789089,6.677083461247136,7.83002808253384,7.451241684987676,1,2014,1,6
2015/2016,tlhabane,rustenburg,bojanala,27.21433,-25.64737,204,3,223,21,2,0,91,431,13,41,117,32,7,148,681,9,24,85,11,45,27,17,0,136,4,52,1,5,0,71,142,1,88,735,592,250,839,2416,1577,6.601230118728877,6.385194398997726,4.48863636973214,5.525452939131784,6.733401891837359,7.790282380703483,7.363913501405819,1,2015,1,7
2016/2017,tlhabane,rustenburg,bojanala,27.21433,-25.64737,330,6,227,23,3,0,106,545,3,46,140,38,8,111,470,7,21,109,18,63,12,33,0,119,5,75,14,12,4,52,213,0,115,920,640,388,602,2550,1948,6.825460036255307,6.46302945692067,4.7535901911063645,5.963579343618446,6.401917196727186,7.844240718141811,7.575071699507561,1,2016,0,8
2017/2018,tlhabane,rustenburg,bojanala,27.21433,-25.64737,299,6,221,20,9,0,98,429,13,52,191,52,5,129,495,13,27,124,26,61,30,26,0,175,6,79,20,3,0,52,114,0,130,693,764,354,657,2468,1811,6.542471960506805,6.639875833826536,4.875197323201151,5.872117789475416,6.489204931325317,7.81156848934518,7.502186486602924,1,2017,0,9
